date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:26	52/52	---MCZ	200	added ('OK')	text/plain	date:Wed,%2008%20Nov%202023%2010:29:26%20GMT	https://devwork.vn/robots.txt		(from )
17:29:27	162376/162376	---MCZ	200	added ('OK')	text/html	etag:%2227a48-2Ix7IxUO3xNL4Gd+v+VtZs4tb+k%22	https://devwork.vn/	C:/My%20Web%20Sites/FE-RA/devwork.vn/index.html	(from )
17:29:27	157097/157097	---M--	200	added ('OK')	image/png	etag:W/%22265a9-18b8e20a9b5%22	https://devwork.vn/share.png	C:/My%20Web%20Sites/FE-RA/devwork.vn/share.png	(from https://devwork.vn/)
17:29:27	8399/8399	---M--	200	added ('OK')	image/png	etag:W/%2220cf-18b8e20a9b5%22	https://devwork.vn/favicon.png	C:/My%20Web%20Sites/FE-RA/devwork.vn/favicon.png	(from https://devwork.vn/)
17:29:27	8210/8210	---MCZ	200	added ('OK')	application/javascript	etag:W/%222012-18b8e1ab652%22	https://devwork.vn/_nuxt/19bae34.js	C:/My%20Web%20Sites/FE-RA/devwork.vn/_nuxt/19bae34.js	(from https://devwork.vn/)
17:29:28	202937/202937	---MCZ	200	added ('OK')	application/javascript	etag:W/%22318b9-18b8e1ab652%22	https://devwork.vn/_nuxt/d02c62c.js	C:/My%20Web%20Sites/FE-RA/devwork.vn/_nuxt/d02c62c.js	(from https://devwork.vn/)
17:29:28	20814/20814	---MCZ	200	added ('OK')	text/css	etag:W/%22514e-18b8e1ab652%22	https://devwork.vn/_nuxt/css/aadafa5.css	C:/My%20Web%20Sites/FE-RA/devwork.vn/_nuxt/css/aadafa5.css	(from https://devwork.vn/)
17:29:28	500968/500968	---MCZ	200	added ('OK')	application/javascript	etag:W/%227a4e8-18b8e1ab652%22	https://devwork.vn/_nuxt/9629f36.js	C:/My%20Web%20Sites/FE-RA/devwork.vn/_nuxt/9629f36.js	(from https://devwork.vn/)
17:29:28	187016/187016	---MCZ	200	added ('OK')	text/css	etag:W/%222da88-18b8e1ab652%22	https://devwork.vn/_nuxt/css/7e5ea22.css	C:/My%20Web%20Sites/FE-RA/devwork.vn/_nuxt/css/7e5ea22.css	(from https://devwork.vn/)
17:29:29	307656/307656	---MCZ	200	added ('OK')	application/javascript	etag:W/%224b1c8-18b8e1ab64e%22	https://devwork.vn/_nuxt/5e6ff7e.js	C:/My%20Web%20Sites/FE-RA/devwork.vn/_nuxt/5e6ff7e.js	(from https://devwork.vn/)
17:29:29	2743/2743	---MCZ	200	added ('OK')	text/css	etag:W/%22ab7-18b8e1ab652%22	https://devwork.vn/_nuxt/css/4a900fb.css	C:/My%20Web%20Sites/FE-RA/devwork.vn/_nuxt/css/4a900fb.css	(from https://devwork.vn/)
17:29:29	20473/20473	---MCZ	200	added ('OK')	application/javascript	etag:W/%224ff9-18b8e1ab652%22	https://devwork.vn/_nuxt/040e1d0.js	C:/My%20Web%20Sites/FE-RA/devwork.vn/_nuxt/040e1d0.js	(from https://devwork.vn/)
17:29:29	44430/44430	---M--	200	added ('OK')	image/png	etag:W/%22ad8e-18b8e1ab63a%22	https://devwork.vn/_nuxt/img/logo.d998f00.png	C:/My%20Web%20Sites/FE-RA/devwork.vn/_nuxt/img/logo.d998f00.png	(from https://devwork.vn/)
17:29:30	150429/150429	---MCZ	200	added ('OK')	text/html	etag:%2224b9d-207Q2G0D0utUCvBsk8kMqq/VFGY%22	https://devwork.vn/viec-lam	C:/My%20Web%20Sites/FE-RA/devwork.vn/viec-lam.html	(from https://devwork.vn/)
17:29:30	36400/36400	---MCZ	200	added ('OK')	text/html	etag:%228e30-ASEXrCjnEHPcPHyCF/0wqYa0rt0%22	https://devwork.vn/dang-nhap	C:/My%20Web%20Sites/FE-RA/devwork.vn/dang-nhap.html	(from https://devwork.vn/)
17:29:30	27413/27413	---MCZ	200	added ('OK')	text/html	etag:%226b15-/HssLGySajbI4/h6pDv9AWsjikQ%22	https://devwork.vn/dang-ky	C:/My%20Web%20Sites/FE-RA/devwork.vn/dang-ky.html	(from https://devwork.vn/)
17:29:31	68169/68169	---MCZ	200	added ('OK')	text/html	etag:%2210a49-WxxwGBEeUQF4tIhZCuS3/BgwLOk%22	https://devwork.vn/viec-lam/laravel	C:/My%20Web%20Sites/FE-RA/devwork.vn/viec-lam/laravel.html	(from https://devwork.vn/)
17:29:32	121414/121414	---MCZ	200	added ('OK')	text/html	etag:%221da46-8z+b8rSOyoXTjgzzoLOYf6yHfyc%22	https://devwork.vn/viec-lam/java	C:/My%20Web%20Sites/FE-RA/devwork.vn/viec-lam/java.html	(from https://devwork.vn/)
17:29:32	93678/93678	---MCZ	200	added ('OK')	text/html	etag:%2216dee-wHidFbp7XXu/qyxOyVkdivWpF68%22	https://devwork.vn/viec-lam/nodejs	C:/My%20Web%20Sites/FE-RA/devwork.vn/viec-lam/nodejs.html	(from https://devwork.vn/)
17:29:33	102311/102311	---MCZ	200	added ('OK')	text/html	etag:%2218fa7-0hn23XCZZ1kaGqBvO7+qxpWQPnQ%22	https://devwork.vn/viec-lam/reactjs	C:/My%20Web%20Sites/FE-RA/devwork.vn/viec-lam/reactjs.html	(from https://devwork.vn/)
17:29:33	53024/53024	---MCZ	200	added ('OK')	text/html	etag:%22cf20-x01LBxsS1INcgPkeJWk4+6f3SoA%22	https://devwork.vn/viec-lam/vuejs	C:/My%20Web%20Sites/FE-RA/devwork.vn/viec-lam/vuejs.html	(from https://devwork.vn/)
17:29:33	38772/38772	---M--	200	added ('OK')	image/png	etag:W/%229774-18b8e1ab63a%22	https://devwork.vn/_nuxt/img/logo-dark.2cac76e.png	C:/My%20Web%20Sites/FE-RA/devwork.vn/_nuxt/img/logo-dark.2cac76e.png	(from https://devwork.vn/)
17:29:34	147169/147169	---MCZ	200	added ('OK')	text/html	etag:%2223ee1-T/zfF8amfeQXLGMr0oMsN3OEMu4%22	https://devwork.vn/viec-lam?country=vietnam	C:/My%20Web%20Sites/FE-RA/devwork.vn/viec-lam4d88.html	(from https://devwork.vn/)
17:29:35	160593/160593	---MCZ	200	added ('OK')	text/html	etag:%2227351-bsoToHrq34jyg9os7SCIt9qvORU%22	https://devwork.vn/viec-lam?country=japan	C:/My%20Web%20Sites/FE-RA/devwork.vn/viec-lam1a64.html	(from https://devwork.vn/)
17:29:35	30019/30019	---MCZ	200	added ('OK')	text/html	etag:%227543-eeIgpAJsoKqT3Xyjyg2PkgBLg6g%22	https://devwork.vn/blog/category/6/tin-cong-nghe	C:/My%20Web%20Sites/FE-RA/devwork.vn/blog/category/6/tin-cong-nghe.html	(from https://devwork.vn/)
17:29:35	30018/30018	---MCZ	200	added ('OK')	text/html	etag:%227542-9i2b1okD5rzHaHccfeZwylY5XNY%22	https://devwork.vn/blog/category/4/company-tour	C:/My%20Web%20Sites/FE-RA/devwork.vn/blog/category/4/company-tour.html	(from https://devwork.vn/)
17:29:35	30023/30023	---MCZ	200	added ('OK')	text/html	etag:%227547-xGpVPy3/8FFEEt31DZhJLD8QoaU%22	https://devwork.vn/blog/category/3/khoi-nghiep-ky-su	C:/My%20Web%20Sites/FE-RA/devwork.vn/blog/category/3/khoi-nghiep-ky-su.html	(from https://devwork.vn/)
17:29:35	30015/30015	---MCZ	200	added ('OK')	text/html	etag:%22753f-yZzFfvKXDEh7JYd6ovE+P+OZLyY%22	https://devwork.vn/blog/category/2/tam-su-hr	C:/My%20Web%20Sites/FE-RA/devwork.vn/blog/category/2/tam-su-hr.html	(from https://devwork.vn/)
17:29:36	30025/30025	---MCZ	200	added ('OK')	text/html	etag:%227549-jVyHlZMtE4nPiFv9snbuQiEcOKM%22	https://devwork.vn/blog/category/1/cam-nang-tuyen-dung	C:/My%20Web%20Sites/FE-RA/devwork.vn/blog/category/1/cam-nang-tuyen-dung.html	(from https://devwork.vn/)
17:29:38	157097/157097	---M--	200	added ('OK')	image/png	etag:W/%22265a9-18b8e1ab63e%22	https://devwork.vn/_nuxt/img/bg-hr.fbeeba5.png	C:/My%20Web%20Sites/FE-RA/devwork.vn/_nuxt/img/bg-hr.fbeeba5.png	(from https://devwork.vn/)
17:29:39	232145/232145	---M--	200	added ('OK')	image/png	etag:W/%2238ad1-18b8e1ab63e%22	https://devwork.vn/_nuxt/img/Job-hunt-amico.be50c50.png	C:/My%20Web%20Sites/FE-RA/devwork.vn/_nuxt/img/Job-hunt-amico.be50c50.png	(from https://devwork.vn/)
17:29:39	165079/165079	---M--	200	added ('OK')	image/png	etag:W/%22284d7-18b8e1ab63e%22	https://devwork.vn/_nuxt/img/Job-hunt-pana.06f8875.png	C:/My%20Web%20Sites/FE-RA/devwork.vn/_nuxt/img/Job-hunt-pana.06f8875.png	(from https://devwork.vn/)
17:29:40	113366/113366	---MCZ	200	added ('OK')	text/html	etag:%221bad6-3mHFRr4K1DJJAHZCKnOVovhxPzw%22	https://devwork.vn/viec-lam/11896/data-engineer-remote_la	C:/My%20Web%20Sites/FE-RA/devwork.vn/viec-lam/11896/data-engineer-remote_la.html	(from https://devwork.vn/)
17:29:40	4172547/4172547	---MCZ	200	added ('OK')	text/html	etag:%223fab03-UYTnehnER9sIWFp80E4F8j1awfA%22	https://devwork.vn/tai-lieu-mien-phi	C:/My%20Web%20Sites/FE-RA/devwork.vn/tai-lieu-mien-phi.html	(from https://devwork.vn/)
17:29:41	38772/38772	---M--	200	added ('OK')	image/png	etag:%22e05b2e46eab40c3b23780fede28611e1%22	https://static.devworks.jp/images/company/derUBKHloLWv82YHPeZttO6gTPuSLuccpN33e3oW.png	C:/My%20Web%20Sites/FE-RA/static.devworks.jp/images/company/derUBKHloLWv82YHPeZttO6gTPuSLuccpN33e3oW.png	(from https://devwork.vn/)
